canal,mes,dia_semana,semana,venta
Agencias,3,4,12,5940.160000000001
WS - FIT,3,4,12,61731.44
Agencias,3,5,12,53647.14000000001
WS - FIT,3,5,12,91080.06000000001
WS - Other,3,5,12,16803.5
Charter,3,6,12,153700.88
WS - FIT,3,6,12,3609.7999999999997
WS - Other,3,6,12,14944.9
Agencias,3,0,13,62888.66
WS - FIT,3,0,13,19796.199999999997
WS - Other,3,0,13,32905.469999999994
Agencias,3,1,13,94712.64
WS - FIT,3,1,13,28933.299999999996
WS - FIT,3,2,13,15869.069999999998
WS - FIT,3,3,13,65543.53
Agencias,3,4,13,442.8
WS - FIT,3,4,13,136399.8
WS - FIT,4,5,13,76640.32999999999
WS - Other,4,5,13,26303.5
Agencias,4,6,13,871.2
WS - FIT,4,6,13,765.5
WS - Other,4,6,13,21011.72
WS - FIT,4,0,14,772.0
Agencias,4,1,14,4204.85
Charter,4,1,14,150734.15
WS - FIT,4,1,14,157.0
WS - FIT,4,2,14,5010.86
WS - Other,4,2,14,20828.41
WS - FIT,4,3,14,82230.96
WS - Other,4,3,14,78485.86
Agencias,4,4,14,32256.64
WS - FIT,4,4,14,16295.14
Agencias,4,5,14,3728.0
Charter,4,5,14,162778.7
WS - FIT,4,5,14,10840.480000000001
WS - Other,4,5,14,34604.51
Agencias,4,6,14,9453.93
WS - FIT,4,6,14,26753.030000000002
WS - Other,4,6,14,16999.870000000003
Agencias,4,0,15,3743.6
WS - FIT,4,0,15,80348.44
WS - Other,4,0,15,41293.259999999995
WS - FIT,4,1,15,24523.379999999997
WS - FIT,4,2,15,5011.1
Agencias,4,3,15,5747.96
WS - FIT,4,3,15,40333.090000000004
WS - Other,4,3,15,3857.0
Agencias,4,4,15,158.4
WS - FIT,4,4,15,33899.88
WS - Other,4,4,15,56064.22
Agencias,4,5,15,4183.14
WS - FIT,4,5,15,23109.73
WS - Other,4,5,15,2564.8000000000006
WS - FIT,4,6,15,15367.119999999999
WS - Other,4,6,15,26121.870000000003
Agencias,4,0,16,11577.1
WS - FIT,4,0,16,23936.230000000003
WS - Other,4,0,16,9438.359999999999
Agencias,4,1,16,21701.54
Charter,4,1,16,172679.09999999998
WS - FIT,4,1,16,29763.280000000002
WS - Other,4,1,16,18056.32
WS - FIT,4,2,16,16842.9
Agencias,4,3,16,12854.500000000002
WS - FIT,4,3,16,8747.4
WS - Other,4,3,16,91258.45999999999
Agencias,4,4,16,19921.68
WS - FIT,4,4,16,5607.1
WS - Other,4,4,16,116652.84000000001
